title,sjr,source_id,ss_id
Journal of Financial Economics,Q1,S149240962,4c1fffff-8b27-4c0c-a194-ac33f1c02cc5
Review of Economic Studies,Q1,S88935262,
Immunity,Q1,S128227336,765ba33e-4347-45de-978f-54fdc14a9747
Nature Catalysis,Q1,S4210229375,229fa27c-5b33-4ca6-9c0a-4c720d719687
Morbidity and Mortality Weekly Report,Q1,S183158886,
Chemical Society Reviews,Q1,S316438,73ec17ce-c146-416b-a1f9-5c9142741115
American Economic Journal: Macroeconomics,Q1,S170166683,a24fc3de-d273-4771-ad81-269c16439b85
Nature Reviews Methods Primers,Q1,S4210231269,93906da2-687f-4184-8437-40998086f409
eScience,Q1,S4210209524,7ec19773-02ec-4b44-bd9d-338e6da82040
Proceedings of the IEEE International Conference on Computer Vision,Q1,,
Nature Neuroscience,Q1,S2298632,7892f01e-f701-4d07-8c36-e108b84ec6ab
Handbook of Econometrics,Q1,S9967140,767b9acf-3e24-4be7-9367-435e91d9b3cd
"Lancet Oncology, The",Q1,S116900674,
"Lancet, The",Q1,S49861241,
Science,Q1,S3880285,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad
Nature Cancer,Q1,S160464432,f511c64e-b292-49b6-a819-65678fadeebb
Journal of Marketing,Q1,S142990027,3b0a94c8-169e-481c-af31-fdaf3cd32623
Annual Review of Pathology: Mechanisms of Disease,Q1,S188288600,
Joule,Q1,S2898305631,cac3b777-0365-4ba3-a881-7c8dbd0cd699
Nature Electronics,Q1,S4210239724,72753051-64d8-439b-a76f-c70555ac654d
Nature Reviews Chemistry,Q1,S4210174246,edf218ab-5799-4f63-92db-e9bb3f362834
Cell Metabolism,Q1,S177533077,ad36b49e-5c03-4c48-be8d-321a0d17c2f6
Nature Immunology,Q1,S41063453,fdaa9751-2608-4cfd-9cc6-4e2461d404e9
Nature Photonics,Q1,S120392215,0c0297e9-ab23-460d-9958-1bf4b91dcf34
Journal of Economic Literature,Q1,S127708089,e4c3372b-3695-4380-baf1-2413baad6b83
Energy and Environmental Science,Q1,S117082959,
Physiological Reviews,Q1,S203035050,d2a88b2a-7295-4af6-8f52-99424522515b
Journal of Clinical Oncology,Q1,S15137598,a5913268-3957-484f-b41f-347b0ba23338
Academy of Management Review,Q1,S46763546,3f217ee1-1adb-45a8-8eed-aef32e6b0d8d
Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,Q1,,
MMWR Surveillance Summaries,Q1,S4210189843,
Cell Stem Cell,Q1,S128124174,5477f7c0-28f2-473a-9dcb-9f1cd6614f20
"Lancet Diabetes and Endocrinology,The",Q1,S2529869117,
Nature Reviews Disease Primers,Q1,S4210201506,777ae9f8-d7d2-4d64-a6c4-a71b7919dc6c
Living Reviews in Relativity,Q1,S110783047,a3853e75-5c3f-4a62-a131-6388abd6ab14
Psychological Science in the Public Interest,Q1,S1025063068,89854b22-3ed7-4225-a29b-3d9aca5f6b90
Journal of Hepatology,Q1,S83651209,7bc28fa8-868b-49cf-b0bf-2727e3d2492a
Annual Review of Condensed Matter Physics,Q1,S185750702,6837e30f-b06b-4562-b195-02821fe7f070
Annual Review of Biochemistry,Q1,S53860259,9e5ab0fc-a36d-4a05-bc89-12dd1cb12e2b
Nature Reviews Gastroenterology and Hepatology,Q1,,
Astronomy and Astrophysics Review,Q1,S982342581,
Nature Reviews Microbiology,Q1,S56802129,2e5b2b9d-b39f-4cf0-ae86-4c9ff4011524
Nature Reviews Earth and Environment,Q1,,
Cell Research,Q1,S132505712,45c77f4e-d4c0-4df3-99dd-119b0d2adb78
Annual Review of Psychology,Q1,S90670110,35ed31a9-a45e-4601-ab4f-49374a1d870f
"Lancet Public Health, The",Q1,S2764808104,
Molecular Cell,Q1,S156208185,
Advanced Materials,Q1,S99352657,
Journal of Econometrics,Q1,S127742747,583aff18-5cc6-47eb-a029-7041292ee2b8
Synthesis Lectures on Artificial Intelligence and Machine Learning,Q1,S933803995,84e95d47-8c6e-4f56-b8c8-2fc3088cfb6b
"Lancet Gastroenterology and Hepatology, The",Q1,S2530914053,
American Economic Journal: Applied Economics,Q1,S42893225,da34212e-18dd-43ae-ad79-0b6934e46706
Annual Review of Economics,Q1,S196715598,c80ce50a-b28d-47e7-a27c-31a7527e5ad9
Acta Numerica,Q1,S124973578,086b0aef-7d17-4f72-8dc3-22252e8a5201
Nature Cell Biology,Q1,S151741590,7d182b83-7d8d-43fb-9fd6-ae67fbafab20
Reviews of Geophysics,Q1,S129102366,3b9349af-ffa2-481c-a994-2ea6cea1faa8
Cell Genomics,Q1,S4210194377,5894cce8-3b78-4445-ad9c-c61df1ef4736
Journal of the American College of Cardiology,Q1,S60865174,8cd0658b-273f-4a78-9262-bae6eea40607
Science immunology,Q1,S2764653179,0f9ee7d2-c564-4da6-87d6-0a659d0356df
Annual Review of Fluid Mechanics,Q1,S169493037,db4b98e5-3f60-4140-b07c-7b9d73023183
Advanced Energy Materials,Q1,S2502627819,12cf261e-f151-4062-8f3d-93679fa07009
Signal Transduction and Targeted Therapy,Q1,S2739142469,660e7c97-71af-4d68-a87d-536a5ae0c644
Advances in Optics and Photonics,Q1,S191306374,44bfa8da-4b53-4973-909f-707f8fbda95c
IEEE Journal on Selected Areas in Communications,Q1,S90422530,68f20e73-515e-4c73-9cd5-5684926b45f7
Annual Review of Neuroscience,Q1,S131371711,d9caa671-3be6-48bc-9710-f96334848b4c
eLight,Q1,S4210205584,439276af-68e3-4695-a5db-8ac649f53454
"Lancet Neurology, The",Q1,S70053155,
Circulation,Q1,S116251202,0d67273f-71c8-43f4-a642-9c384870ccb2
Psychological Bulletin,Q1,S75627607,ca4dbc09-c47d-4a7c-8785-2a2d846cd0e6
Nature Reviews Cardiology,Q1,S62674001,3c497f14-18a8-43f7-835c-06272cacfb47
Journal of Accounting and Economics,Q1,S62142384,
Academy of Management Journal,Q1,S117778295,38c85c17-393a-44bf-8ba8-ddeb5efeffdc
Nature Physics,Q1,S156274416,7e9db4a0-67c4-46c4-9b17-d48d100c2cb7
Molecular Cancer,Q1,S132829192,3fe62071-fd0b-4471-9f80-bb6e5ce15d1e
AI Open,Q1,S4210194376,6c35576a-a87d-4dc1-a576-780572d8d0e6
Gut,Q1,S3251770,99b00e0c-56b4-4079-91b7-0fa64b30b1ca
Foundations and Trends in Finance,Q1,S22496144,2832c2ba-754b-43ff-a6cc-da5a665bd7ac
Synthesis Lectures on Communication Networks,Q1,S4210169685,7f81dd29-4b11-492f-b533-e59b95c32ef3
Nature Microbiology,Q1,S2764926557,1d7cbbdc-b376-4451-ab0f-0a9158c6e16f
"Lancet Respiratory Medicine,The",Q1,S4210192742,
Nature Biomedical Engineering,Q1,S2764624792,5619586e-de5a-4bc3-ac80-04dd8530d80c
Endocrine Reviews,Q1,S13493133,30b423bd-bbec-4115-9821-aab008055159
Journal of Thoracic Oncology,Q1,S90745127,607fb06f-dfb3-4bbf-9815-ffde1115a105
Nature Reviews Neuroscience,Q1,S26843219,74b0478a-292c-4fe3-bb2f-71f438f00cc7
JAMA Oncology,Q1,S2756165422,4927fc60-c4fd-4482-a987-8ce831e407cc
Nature Reviews Physics,Q1,S4210234670,3639d55b-36ef-4fa6-97fd-1bdc155f9081
"Lancet Psychiatry,The",Q1,S2531556786,
Strategic Management Journal,Q1,S102949365,fdbc1234-c585-4d8f-b372-d9db8ae2e35f
Progress in Materials Science,Q1,S88404446,b85edd00-3c8d-4d70-9409-4f6e9c1164ea
Review of Finance,Q1,S131117787,ef9edf51-0e37-4f74-a9c5-7a3f8ea4a6ee
ACM Transactions on Graphics,Q1,S185367456,aab03e41-f80d-48b3-89bd-60eeeceafc7d
Cell Host and Microbe,Q1,S207313999,89483984-6e6e-463c-bd27-587def1b79ee
Neuron,Q1,S45757444,7a61412a-9a9a-487d-9613-5a1fbd879c9d
Nature Climate Change,Q1,S183584863,a4f95e1d-dc3e-4b97-a4fb-d68d79289677
Annual Review of Organizational Psychology and Organizational Behavior,Q1,S4210200923,ca63634c-9bb1-48b6-a960-d32f2ab4bb14
Annual Review of Plant Biology,Q1,S176558078,fb7027bc-56d9-4d79-98c4-47861dc42d0b
Review of Economics and Statistics,Q1,S180061323,5e19119a-7591-4c54-8255-61a8db3575d5
Journal of Management,Q1,S122767448,39a24272-60ea-41ad-8ffd-e3be14d938ce
Cancer Discovery,Q1,S2486275289,de16002a-77c3-4d03-9348-5a1813238e0b
Journal of Hematology and Oncology,Q1,S46507181,
Journal of Economic Perspectives,Q1,S72880728,ff06c08d-4001-4156-91dc-db2dbc056067
Living Reviews in Solar Physics,Q1,S36812265,30190710-7273-49f7-9aca-28321182fc8f
Nature Protocols,Q1,S109387254,705a5f2b-aaf1-41fb-bc28-be78040b4587
Annual Review of Genetics,Q1,S92134727,e4d34019-8e4d-47db-b9c1-73acf423bf0b
Nature Sustainability,Q1,S4210188283,92ba34d7-80e1-40dc-abdb-79a0e956776d
Gastroenterology,Q1,S143352558,03ddc721-1999-4110-8a6b-e3aab1709075
Annual Review of Clinical Psychology,Q1,S87014875,859022e2-49ca-45d4-8e43-0fa45d44e934
"Lancet Digital Health, The",Q1,S4210237014,
Nature Reviews Endocrinology,Q1,S116269268,72983286-4c30-4ba6-b32a-33fb49586d6e
The Innovation,Q1,S4210236180,0d8eac9f-1ce5-459e-8d08-409fc8b4e36f
ACS Energy Letters,Q1,S2764414965,26d617a8-0e4c-4469-94d2-b7d9c275683c
Genome Biology,Q1,S4210206758,41dbb273-8d18-4a45-8154-852882a37b34
Journal of the Academy of Marketing Science,Q1,S92522684,74b3b21c-b1f4-454e-80bb-014bfa1af444
Nature Metabolism,Q1,S4210232714,f8dd1b61-789d-48ec-b550-a6245826a9aa
Annals of Mathematics,Q1,S45918994,1c217a55-a879-4208-a255-20c16fc90bf5
Nature Structural and Molecular Biology,Q1,S139253143,
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Q1,,
Nucleic Acids Research,Q1,S134668137,da96c220-cd39-4894-bae6-d2d77c8e7aa9
Nature Chemistry,Q1,S202193212,595fae27-1d28-40d8-a0be-9b2a9b240b7e
European Urology,Q1,S96871409,4a6653e0-8789-44cb-971b-63fd2af191b3
Annual Review of Physiology,Q1,S196366644,eedc6e61-e846-485a-a273-0cc8bb06d7d3
Journal of Experimental Medicine,Q1,S22947807,7d071626-1aa2-4dad-a259-bcccedccf44d
Materials Science and Engineering: R: Reports,Q1,S1018252914,
Electrochemical Energy Reviews,Q1,S4210169386,20f176fa-3278-419f-b42e-a6c2a5d4b1bb
Fungal Diversity,Q1,S150033744,0218efea-e718-48f5-8ed8-748981eea350
Clinical Microbiology Reviews,Q1,S112662651,e1eeb2ba-5a29-470f-909f-ff82c50fd98b
Organizational Research Methods,Q1,S133599136,240988dd-9d5c-4372-9bff-f384fc54fa8b
International Journal of Computer Vision,Q1,S25538012,939ee07c-6009-43f8-b884-69238b40659e
Journal of the European Economic Association,Q1,S165087003,4da5da17-7df3-4853-878a-5d906f6dd6ad
Journal of Accounting Research,Q1,S111116695,7f5fb6a5-a369-4456-b2eb-dab7b7209443
Science Robotics,Q1,S4210213233,e09464be-9afe-4f80-961f-1f692839a54a
Journal of Monetary Economics,Q1,S6711363,dde96ef5-8a30-4114-84d1-7506cc93b14e
Chem,Q1,S2898106599,3ec8d246-6470-4338-ab07-2d446538c1a0
American Economic Journal: Economic Policy,Q1,S158011328,39d52106-71ac-4151-b861-6f783d349ce2
Science Translational Medicine,Q1,S24207032,1cd4baea-5ccc-4522-9dbf-0566f39d3b37
Nano-Micro Letters,Q1,S9070373,c905e879-44d5-4d23-bfe7-8c25e7d83c08
Annual Review of Cell and Developmental Biology,Q1,S93285647,ced13a92-1aaf-460d-bf1d-18e73127386d
Journal of Applied Psychology,Q1,S166002381,286fc244-bdbc-4806-9482-8c6763fcb68b
Physics Reports,Q1,S48633963,8acab7bf-7125-42d2-a589-db8b909ac461
Journal of the American Mathematical Society,Q1,S130224168,073a9c40-71b8-40bc-ad5a-bd4e1581ad84
Neuro-Oncology,Q1,S106908163,885e4962-6eb4-4c11-90b7-03fad705f9bd
"Lancet Infectious Diseases, The",Q1,S23772524,
Review of Asset Pricing Studies,Q1,S2735409286,67c78300-bb47-4ecb-97f9-0a7785f382aa
ACM Computing Surveys,Q1,S157921468,7b2adce0-d53f-49d6-8784-b0645604fe62
Advances in Methods and Practices in Psychological Science,Q1,S4210173062,db890f0d-5d62-433f-af5a-f99e9c862fd2
JAMA Psychiatry,Q1,S2495708506,6998d185-1b14-41c0-9648-d9f83fdd1299
Nature Reviews Neurology,Q1,S22232893,acdcc82c-368c-442a-92e8-0a2913177701
Intensive Care Medicine,Q1,S198804558,2294caa9-0a4e-478e-9cad-c0218907d492
JAMA Cardiology,Q1,S2765015654,b6979ead-e857-4f0c-a910-44f0d6247ba9
"Lancet Global Health,The",Q1,S4210176958,
Progress in Polymer Science,Q1,S119685760,415c3437-2f51-4a65-98da-a9c28314fd8c
Advanced Powder Materials,Q1,S4210231862,60681af9-203e-4bf7-a30a-d64bec17883c
JAMA Neurology,Q1,S164389565,58276652-28c0-4bfd-ae28-712efaae6ec1
IEEE Transactions on Pattern Analysis and Machine Intelligence,Q1,S199944782,25248f80-fe99-48e5-9b8e-9baef3b8e23b
"Philosophical Review, The",Q1,S35579339,
Annals of the Rheumatic Diseases,Q1,S25650217,2457f111-719e-405a-8b99-3e2ad59ad1e3
Progress in Energy and Combustion Science,Q1,S65236890,15fad906-b8ce-438a-bef8-7eac5f603662
Nature Human Behaviour,Q1,S2764866340,b7e5a3b3-2519-4ca2-8870-c2b45ef76ab9
Proceedings of the IEEE,Q1,S68686220,6faaccca-1cc4-45a9-aeb6-96a4901d2606
Journal of Labor Economics,Q1,S8557221,bec319f9-aa79-4ee1-9167-857f604c79eb
Foundations and Trends in Signal Processing,Q1,S123473935,
Pharmacological Reviews,Q1,S161680845,7faf1523-d335-40e5-a43f-eda662d4aa96
Trends in Cell Biology,Q1,S118628157,81cf38b2-9175-4415-aea1-d852b2702de3
Journal of Marketing Research,Q1,S119950638,ac2298b8-fa3b-412d-8b6a-1226ddc44bef
Molecular Plant,Q1,S88768767,0cc484fd-832a-417b-9c05-01adc7f7c74f
Materials Today,Q1,S2898407351,41843f5f-010e-4ed7-82bd-45a1218083b4
Accounts of Chemical Research,Q1,S145378405,4e6d067b-67a9-4c4c-886f-9ae510c6df38
Nature Machine Intelligence,Q1,S2912241403,6457124b-39bf-4d02-bff4-73752ff21562
Nature Reviews Nephrology,Q1,S18618073,49a7bd27-598c-4a35-8156-488f7e4f8f7e
JAMA - Journal of the American Medical Association,Q1,S4306400883,
IEEE Wireless Communications,Q1,S146764194,2e8c30d0-78f6-4b13-aecb-9a65bff00635
Progress in Retinal and Eye Research,Q1,S138587161,b2a8cef9-68f2-491b-baed-a7e408a2d40a
European Journal of Heart Failure,Q1,S87609158,5d630409-01ed-4c6c-8ecd-1bf795b6d212
Annual Review of Entomology,Q1,S92576693,05858a37-ee87-4642-a985-caaea279b06f
Physical Review X,Q1,S137042341,98eedf55-1e67-4c3d-a25d-79861b87ae04
Nature Geoscience,Q1,S48977010,0b5cc2a7-e2a8-4638-8c00-ba6578c1d426
Developmental Cell,Q1,S83804233,744d2ff9-76f1-4f43-be2a-45775418e1a2
Annual Review of Political Science,Q1,S8194976,
Entrepreneurship Theory and Practice,Q1,S187626162,
International Journal of Information Management,Q1,S189354248,b4ddf99b-89f6-42b4-8bbc-9bde693530cf
Review of Educational Research,Q1,S92895470,775bbe00-a244-44be-aa4d-85e68330da53
JACC: Heart Failure,Q1,S2764825379,
Nature Aging,Q1,S4210214063,0e1ce99c-bf02-4669-bede-46acda68dd55
Diabetes Care,Q1,S49878492,9bfe7b94-0bb4-4247-b40b-4490cabf6d8a
InfoMat,Q1,S4210212605,3c738902-9485-44ca-aca9-c0112adbef61
Clinical Psychology Review,Q1,S4632444,97e4ee9e-54f5-45e1-af66-2c0abde39608
Information Fusion,Q1,S7560371,06afdd0b-0d85-413f-af8a-c3045c12c561
Marketing Science,Q1,S163534328,
IEEE Transactions on Cybernetics,Q1,S4210191041,404813e7-95da-4137-be14-2ba73d2df4fd
Organization Science,Q1,S206124708,
IEEE Communications Magazine,Q1,S158797327,a1b15bc8-157e-45a9-b4c8-8211f938775d
NCHS data brief,Q1,S2764611617,a12a03e2-827d-455c-bb6b-3b14b30883e1
Perspectives on Psychological Science,Q1,S27228949,8ec18bc5-9c95-446c-a293-735d7ae1e3e9
Annual Review of Biophysics,Q1,S197825871,7716fd23-d0b7-4a17-8489-0aed08905cb4
Nature Chemical Biology,Q1,S51309854,7758f686-2a47-473d-835c-6784e70a0aac
Nature Reviews Psychology,Q1,S4210237610,e5aa582c-d942-45b5-9b96-a1501eead56b
Annual Review of Environment and Resources,Q1,S5491134,
Advanced Functional Materials,Q1,S135204980,dcd56d29-6feb-4b39-b969-74e48c1e9dd3
JAMA Pediatrics,Q1,S14226812,a122637b-d377-4bfb-b978-dbc0fe102eb9
EMBO Journal,Q1,S127916151,b89f0ede-6fa8-4dd2-a8a7-f54695a00323
Journal of the American Chemical Society,Q1,S111155417,4193a393-c091-455e-858d-3d2c151b52b8
Review of Accounting Studies,Q1,S11853582,fd63abd4-e9d5-4454-b3e7-68aab11ef244
Annual Review of Medicine,Q1,S16909082,3692bf6d-904e-4425-a81b-93cf183ed6c7
Manufacturing and Service Operations Management,Q1,S81410195,
Annual Review of Earth and Planetary Sciences,Q1,S135981667,
Annual Review of Public Health,Q1,S113591250,641e5cdb-8620-434d-9779-cb9bcf16cd93
Management Science,Q1,S33323087,
Journal of Consumer Research,Q1,S145429826,26f21955-5e05-46af-a966-3097b385c805
Review of Corporate Finance Studies,Q1,S2736251538,
"Annual Review of Ecology, Evolution, and Systematics",Q1,S119405978,
"Lancet Microbe, The",Q1,S4210190705,
Energy Storage Materials,Q1,S2764728150,1f697120-a8cd-4174-a76b-630caa952ae2
IEEE Transactions on Wireless Communications,Q1,S63459445,bb40a041-3875-45d5-afd4-e1c75f896fa6
Advanced Photonics,Q1,S4210199334,99671e61-19d4-4c24-9115-f5ac1743778c
Organization Studies,Q1,S28882882,2183055b-fd1f-45ea-8856-e6cd74296fd9
American Journal of Respiratory and Critical Care Medicine,Q1,S93356601,1c94bb2e-f9df-43a1-b99b-5590cca7d15f
Annals of Statistics,Q1,S119757635,c1e97d21-f68c-48bf-b745-f822afd9cb58
Molecular Systems Biology,Q1,S200893805,3bff011d-f05b-46ec-b123-beabcc2a1ba5
Angewandte Chemie - International Edition,Q1,S67393510,
EnergyChem,Q1,S4210219518,8ebf8b98-92a0-43f8-8f34-28f08d6768ef
Blood,Q1,S200071133,9b6db04a-2990-4cf9-a14c-01d47636ee53
IEEE Transactions on Evolutionary Computation,Q1,S93787993,79644985-a91b-42a7-ac72-bb961c283f5e
Molecular Neurodegeneration,Q1,S40861184,464e96dc-9521-4be1-8d6d-511f966318fa
Mycosphere,Q1,S2739093061,4f404878-a07c-48c7-8747-4e5461bbaf4c
Carbon Energy,Q1,S4210201120,c8eb6e99-e1f8-4e0d-a55e-9ad8b08257d1
Reports on Progress in Physics,Q1,S105282323,
Light: Science and Applications,Q1,S2498964232,
Trends in Ecology and Evolution,Q1,S79131028,
Journal of Public Economics,Q1,S199447588,d4be3465-5ad9-4cbc-addb-fea1b26ca4df
Nature Plants,Q1,S2764671299,5d97e957-44ed-44a6-878e-902b90cd7591
Brookings Papers on Economic Activity,Q1,S4210173904,
Applied Catalysis B: Environmental,Q1,,41300b04-a370-4ee5-a1af-774aa1b15f63
Psychotherapy and Psychosomatics,Q1,S184803288,ffba3180-7826-4d8d-887e-2f784e73873a
American Political Science Review,Q1,S176007004,849d78f8-8160-4ca1-8cd8-84253f6abdf6
"Lancet Planetary Health, The",Q1,S2898182138,
Nature Ecology and Evolution,Q1,S2764884935,
Matter,Q1,S4210174675,f5755c39-9039-422b-a57e-fc6bab51c706
Analytic Methods in Accident Research,Q1,S2898450762,854f2791-de10-41ed-b6f1-7b9d74526ceb
Foundations and Trends in Systems and Control,Q1,S4210220164,
Genes and Development,Q1,S168778273,
Hepatology,Q1,S156174673,ca06bbb2-52c1-4744-80e1-555101305047
Journal of the National Cancer Institute,Q1,S98010888,917421ed-0c48-4dc3-897b-a8caae75761d
Genome Medicine,Q1,S149201819,a1eabcca-9d3f-45ac-bb78-c024734a2b68
Radiocarbon,Q1,S35778795,
"Lancet Regional Health - Europe, The",Q1,S4210196034,
PRX Quantum,Q1,S4210195673,ba74cc31-4d3a-4b52-ae22-ebb5b05b62a2
Foundations and Trends in Computer Graphics and Vision,Q1,S83210289,a21f6aaa-21ef-418d-b2dd-e56ce6e16570
Cancer Communications,Q1,S4210240675,7a68872c-21ad-4641-9d66-304ebb72b664
Journal of Service Research,Q1,S125608309,
International Organization,Q1,S160686149,2d66f18a-7400-4c2e-a00b-dbbbe1f90db6
Circulation Research,Q1,S10652568,439d70ad-d909-4791-bdc6-dc765447bd42
IEEE Signal Processing Magazine,Q1,S120977877,f62e5eab-173a-4e0a-a963-ed8de9835d22
Annual Review of Marine Science,Q1,S43203325,7d024ea6-1e0f-4bfb-9b19-1dd95899347f
Nature Food,Q1,S4210207988,e564bee8-f22e-4df4-8ded-3943831eff74
Trends in Neurosciences,Q1,S114966740,740727d0-3ba7-460d-ae46-2a7cd376aad2
Nature Communications,Q1,S64187185,43b3f0f9-489a-4566-8164-02fafde3cd98
Cell Systems,Q1,S2764739556,ebb34bf6-eb0a-4d70-81fc-53360c4c20b3
IEEE Transactions on Smart Grid,Q1,S59604973,1c2f3998-b5ca-48ca-9991-94b71c71ecb7
Annual Review of Financial Economics,Q1,S4210170931,3c88e125-bad7-4ef7-ba66-65db58017be5
Cellular and Molecular Immunology,Q1,S19143454,
Journal of Clinical Investigation,Q1,S114430552,8c9a9e1b-acf2-4274-8d73-6ea0ecd11fd1
Studies in Mycology,Q1,S128934584,ce05c1d0-14d4-4b50-be56-50022622d66a
Nature reviews. Rheumatology,Q1,S78310130,
Acta Mathematica,Q1,S113542759,59af4cfc-304d-4c2c-b844-ebfb0cffb93a
Journal of Business Venturing,Q1,S66201313,477a8dab-f732-4816-a55e-e629005e97f9
Personality and Social Psychology Review,Q1,S37739784,5b750144-6d7e-45e3-9e2f-44263ea890a0
Cement and Concrete Research,Q1,S186020892,17c77ddb-1589-482c-98b8-87aba83abed1
Nature Synthesis,Q1,S4210215815,6bffd84f-80be-482a-aa76-8aaee1f201d5
Trends in Cognitive Sciences,Q1,S192051125,20cb626a-518d-4016-826a-0157cf2f8fd6
Periodontology 2000,Q1,S43912546,83951ad0-2a58-40de-a8b2-64d646623e6a
Acta Neuropathologica,Q1,S198620474,7a3e5a05-6855-47f8-93b7-1892c55fd32b
Quantitative Economics,Q1,S156003414,e7372121-2925-4866-b93f-abaace271d46
Educational Psychologist,Q1,S168863630,
Annual Review of Physical Chemistry,Q1,S136526455,
IEEE/CAA Journal of Automatica Sinica,Q1,S2484288132,ef1356d5-69c7-484e-a110-3efae1e93ecc
British Journal of Sports Medicine,Q1,S136578784,ddecc765-ad52-4b7d-8ae1-c0e71cf13ad7
Handbook of Industrial Organization,Q1,S72310667,80647d52-3963-4136-bc50-2545f5539ac4
Brain,Q1,S96638545,57f3053f-5155-4574-9682-25cb815bf926
Nano Energy,Q1,S2497301991,d8e0b724-34fa-4786-98bc-344e358b2286
Progress in Particle and Nuclear Physics,Q1,S37308595,f1dc7ee9-517e-4ae8-b336-d27592d437d8
Drug Resistance Updates,Q1,S47159833,f7ee5a72-5730-4522-9ed1-ec3fb93d48d2
Ophthalmology,Q1,S207341048,
Accounting Review,Q1,S160506855,7d656e32-e61e-4019-8f19-f21030edd7f0
Blood cancer discovery,Q1,S4210239195,6b2d326f-e39b-464b-8359-1ef475cd7495
JACC: Cardiovascular Imaging,Q1,S195556561,
"Annual Review of Control, Robotics, and Autonomous Systems",Q1,S4210191328,
American Journal of Political Science,Q1,S90314269,17c57465-210d-4f43-a033-59d25938d6b6
Clinical Cancer Research,Q1,S183149254,a360cd20-21d0-42cf-a0af-2f14e10514f0
GigaScience,Q1,S2735135405,c0047299-4a6a-4b3f-a6f6-e89a0ab88470
Political Analysis,Q1,S29331042,171758eb-39e1-4665-a00d-dd65ec7d465e
Computational Visual Media,Q1,S2487656537,d2dfc02a-9028-4345-b6cf-556b76ac435b
Journal of International Business Studies,Q1,S38024979,f5693ee6-844f-4cd4-847e-0d1467b2deb3
