title,SJR Best Quartile,source_id
Nature Reviews Gastroenterology and Hepatology,Q1,
Astronomy and Astrophysics Review,Q1,S982342581
Nature Reviews Microbiology,Q1,S56802129
Nature Reviews Earth and Environment,Q1,
Cell Research,Q1,S132505712
Annual Review of Psychology,Q1,S90670110
"Lancet Public Health, The",Q1,S2764808104
Molecular Cell,Q1,S156208185
Advanced Materials,Q1,S99352657
Journal of Econometrics,Q1,S127742747
Synthesis Lectures on Artificial Intelligence and Machine Learning,Q1,S933803995
"Lancet Gastroenterology and Hepatology, The",Q1,S2530914053
American Economic Journal: Applied Economics,Q1,S42893225
Annual Review of Economics,Q1,S196715598
Acta Numerica,Q1,S124973578
Nature Cell Biology,Q1,S151741590
Reviews of Geophysics,Q1,S129102366
Cell Genomics,Q1,S4210194377
Journal of the American College of Cardiology,Q1,S60865174
Science immunology,Q1,S2764653179
Annual Review of Fluid Mechanics,Q1,S169493037
Advanced Energy Materials,Q1,S2502627819
Signal Transduction and Targeted Therapy,Q1,S2739142469
Advances in Optics and Photonics,Q1,S191306374
IEEE Journal on Selected Areas in Communications,Q1,S90422530
Annual Review of Neuroscience,Q1,S131371711
eLight,Q1,S4210205584
"Lancet Neurology, The",Q1,S70053155
Circulation,Q1,S116251202
Psychological Bulletin,Q1,S75627607
Nature Reviews Cardiology,Q1,S62674001
Journal of Accounting and Economics,Q1,S62142384
Academy of Management Journal,Q1,S117778295
Nature Physics,Q1,S156274416
Molecular Cancer,Q1,S132829192
AI Open,Q1,S4210194376
Gut,Q1,S3251770
Foundations and Trends in Finance,Q1,S22496144
Synthesis Lectures on Communication Networks,Q1,S4210169685
Nature Microbiology,Q1,S2764926557
"Lancet Respiratory Medicine,The",Q1,S4210192742
Nature Biomedical Engineering,Q1,S2764624792
Endocrine Reviews,Q1,S13493133
Journal of Thoracic Oncology,Q1,S90745127
Nature Reviews Neuroscience,Q1,S26843219
JAMA Oncology,Q1,S2756165422
Nature Reviews Physics,Q1,S4210234670
"Lancet Psychiatry,The",Q1,S2531556786
Strategic Management Journal,Q1,S102949365
Progress in Materials Science,Q1,S88404446
Review of Finance,Q1,S131117787
ACM Transactions on Graphics,Q1,S185367456
Cell Host and Microbe,Q1,S207313999
Neuron,Q1,S45757444
Nature Climate Change,Q1,S183584863
Annual Review of Organizational Psychology and Organizational Behavior,Q1,S4210200923
Annual Review of Plant Biology,Q1,S176558078
Review of Economics and Statistics,Q1,S180061323
Journal of Management,Q1,S122767448
Cancer Discovery,Q1,S2486275289
Journal of Hematology and Oncology,Q1,S46507181
Journal of Economic Perspectives,Q1,S72880728
Living Reviews in Solar Physics,Q1,S36812265
Nature Protocols,Q1,S109387254
Annual Review of Genetics,Q1,S92134727
Nature Sustainability,Q1,S4210188283
Gastroenterology,Q1,S143352558
Annual Review of Clinical Psychology,Q1,S87014875
"Lancet Digital Health, The",Q1,S4210237014
Nature Reviews Endocrinology,Q1,S116269268
The Innovation,Q1,S4210236180
ACS Energy Letters,Q1,S2764414965
Genome Biology,Q1,S4210206758
Journal of the Academy of Marketing Science,Q1,S92522684
Nature Metabolism,Q1,S4210232714
Annals of Mathematics,Q1,S45918994
Nature Structural and Molecular Biology,Q1,S139253143
Publications Mathematiques de l'Institut des Hautes Etudes Scientifiques,Q1,
Nucleic Acids Research,Q1,S134668137
Nature Chemistry,Q1,S202193212
European Urology,Q1,S96871409
Annual Review of Physiology,Q1,S196366644
Journal of Experimental Medicine,Q1,S22947807
Materials Science and Engineering: R: Reports,Q1,S1018252914
Electrochemical Energy Reviews,Q1,S4210169386
Fungal Diversity,Q1,S150033744
Clinical Microbiology Reviews,Q1,S112662651
Organizational Research Methods,Q1,S133599136
International Journal of Computer Vision,Q1,S25538012
Journal of the European Economic Association,Q1,S165087003
Journal of Accounting Research,Q1,S111116695
Science Robotics,Q1,S4210213233
Journal of Monetary Economics,Q1,S6711363
Chem,Q1,S2898106599
American Economic Journal: Economic Policy,Q1,S158011328
Science Translational Medicine,Q1,S24207032
Nano-Micro Letters,Q1,S9070373
Annual Review of Cell and Developmental Biology,Q1,S93285647
Journal of Applied Psychology,Q1,S166002381
Physics Reports,Q1,S48633963
Journal of the American Mathematical Society,Q1,S130224168
Neuro-Oncology,Q1,S106908163
"Lancet Infectious Diseases, The",Q1,S23772524
Review of Asset Pricing Studies,Q1,S2735409286
ACM Computing Surveys,Q1,S157921468
Advances in Methods and Practices in Psychological Science,Q1,S4210173062
JAMA Psychiatry,Q1,S2495708506
Nature Reviews Neurology,Q1,S22232893
Intensive Care Medicine,Q1,S198804558
JAMA Cardiology,Q1,S2765015654
"Lancet Global Health,The",Q1,S4210176958
Progress in Polymer Science,Q1,S119685760
Advanced Powder Materials,Q1,S4210231862
JAMA Neurology,Q1,S164389565
IEEE Transactions on Pattern Analysis and Machine Intelligence,Q1,S199944782
"Philosophical Review, The",Q1,S35579339
Annals of the Rheumatic Diseases,Q1,S25650217
Progress in Energy and Combustion Science,Q1,S65236890
Nature Human Behaviour,Q1,S2764866340
Proceedings of the IEEE,Q1,S68686220
Journal of Labor Economics,Q1,S8557221
Foundations and Trends in Signal Processing,Q1,S123473935
Pharmacological Reviews,Q1,S161680845
Trends in Cell Biology,Q1,S118628157
Journal of Marketing Research,Q1,S119950638
Molecular Plant,Q1,S88768767
Materials Today,Q1,S2898407351
Accounts of Chemical Research,Q1,S145378405
Nature Machine Intelligence,Q1,S2912241403
Nature Reviews Nephrology,Q1,S18618073
JAMA - Journal of the American Medical Association,Q1,S4306400883
IEEE Wireless Communications,Q1,S146764194
Progress in Retinal and Eye Research,Q1,S138587161
European Journal of Heart Failure,Q1,S87609158
Annual Review of Entomology,Q1,S92576693
Physical Review X,Q1,S137042341
Nature Geoscience,Q1,S48977010
Developmental Cell,Q1,S83804233
Annual Review of Political Science,Q1,S8194976
Entrepreneurship Theory and Practice,Q1,S187626162
International Journal of Information Management,Q1,S189354248
Review of Educational Research,Q1,S92895470
JACC: Heart Failure,Q1,S2764825379
Nature Aging,Q1,S4210214063
Diabetes Care,Q1,S49878492
InfoMat,Q1,S4210212605
Clinical Psychology Review,Q1,S4632444
Information Fusion,Q1,S7560371
Marketing Science,Q1,S163534328
IEEE Transactions on Cybernetics,Q1,S4210191041
Organization Science,Q1,S206124708
IEEE Communications Magazine,Q1,S158797327
NCHS data brief,Q1,S2764611617
Perspectives on Psychological Science,Q1,S27228949
Annual Review of Biophysics,Q1,S197825871
Nature Chemical Biology,Q1,S51309854
Nature Reviews Psychology,Q1,S4210237610
Annual Review of Environment and Resources,Q1,S5491134
Advanced Functional Materials,Q1,S135204980
JAMA Pediatrics,Q1,S14226812
EMBO Journal,Q1,S127916151
Journal of the American Chemical Society,Q1,S111155417
Review of Accounting Studies,Q1,S11853582
Annual Review of Medicine,Q1,S16909082
Manufacturing and Service Operations Management,Q1,S81410195
Annual Review of Earth and Planetary Sciences,Q1,S135981667
Annual Review of Public Health,Q1,S113591250
Management Science,Q1,S33323087
Journal of Consumer Research,Q1,S145429826
Review of Corporate Finance Studies,Q1,S2736251538
"Annual Review of Ecology, Evolution, and Systematics",Q1,S119405978
"Lancet Microbe, The",Q1,S4210190705
Energy Storage Materials,Q1,S2764728150
IEEE Transactions on Wireless Communications,Q1,S63459445
Advanced Photonics,Q1,S4210199334
Organization Studies,Q1,S28882882
American Journal of Respiratory and Critical Care Medicine,Q1,S93356601
Annals of Statistics,Q1,S119757635
Molecular Systems Biology,Q1,S200893805
Angewandte Chemie - International Edition,Q1,S67393510
EnergyChem,Q1,S4210219518
Blood,Q1,S200071133
IEEE Transactions on Evolutionary Computation,Q1,S93787993
Molecular Neurodegeneration,Q1,S40861184
Mycosphere,Q1,S2739093061
Carbon Energy,Q1,S4210201120
Reports on Progress in Physics,Q1,S105282323
Light: Science and Applications,Q1,S2498964232
Trends in Ecology and Evolution,Q1,S79131028
Journal of Public Economics,Q1,S199447588
Nature Plants,Q1,S2764671299
Brookings Papers on Economic Activity,Q1,S4210173904
Applied Catalysis B: Environmental,Q1,
Psychotherapy and Psychosomatics,Q1,S184803288
American Political Science Review,Q1,S176007004
"Lancet Planetary Health, The",Q1,S2898182138
Nature Ecology and Evolution,Q1,S2764884935
Matter,Q1,S4210174675
Analytic Methods in Accident Research,Q1,S2898450762
Foundations and Trends in Systems and Control,Q1,S4210220164
Genes and Development,Q1,S168778273
Hepatology,Q1,S156174673
Journal of the National Cancer Institute,Q1,S98010888
Genome Medicine,Q1,S149201819
Radiocarbon,Q1,S35778795
"Lancet Regional Health - Europe, The",Q1,S4210196034
PRX Quantum,Q1,S4210195673
Foundations and Trends in Computer Graphics and Vision,Q1,S83210289
Cancer Communications,Q1,S4210240675
Journal of Service Research,Q1,S125608309
International Organization,Q1,S160686149
Circulation Research,Q1,S10652568
IEEE Signal Processing Magazine,Q1,S120977877
Annual Review of Marine Science,Q1,S43203325
Nature Food,Q1,S4210207988
Trends in Neurosciences,Q1,S114966740
Nature Communications,Q1,S64187185
Cell Systems,Q1,S2764739556
IEEE Transactions on Smart Grid,Q1,S59604973
Annual Review of Financial Economics,Q1,S4210170931
Cellular and Molecular Immunology,Q1,S19143454
Journal of Clinical Investigation,Q1,S114430552
Studies in Mycology,Q1,S128934584
Nature reviews. Rheumatology,Q1,S78310130
Acta Mathematica,Q1,S113542759
Journal of Business Venturing,Q1,S66201313
Personality and Social Psychology Review,Q1,S37739784
Cement and Concrete Research,Q1,S186020892
Nature Synthesis,Q1,S4210215815
Trends in Cognitive Sciences,Q1,S192051125
Periodontology 2000,Q1,S43912546
Acta Neuropathologica,Q1,S198620474
Quantitative Economics,Q1,S156003414
Educational Psychologist,Q1,S168863630
Annual Review of Physical Chemistry,Q1,S136526455
IEEE/CAA Journal of Automatica Sinica,Q1,S2484288132
British Journal of Sports Medicine,Q1,S136578784
Handbook of Industrial Organization,Q1,S72310667
Brain,Q1,S96638545
Nano Energy,Q1,S2497301991
Progress in Particle and Nuclear Physics,Q1,S37308595
Drug Resistance Updates,Q1,S47159833
Ophthalmology,Q1,S207341048
Accounting Review,Q1,S160506855
Blood cancer discovery,Q1,S4210239195
JACC: Cardiovascular Imaging,Q1,S195556561
"Annual Review of Control, Robotics, and Autonomous Systems",Q1,S4210191328
American Journal of Political Science,Q1,S90314269
Clinical Cancer Research,Q1,S183149254
GigaScience,Q1,S2735135405
Political Analysis,Q1,S29331042
Computational Visual Media,Q1,S2487656537
Journal of International Business Studies,Q1,S38024979
ACS Nano,Q1,S145476921
Carbon Research,Q1,S4210233808
Journal of International Economics,Q1,S198098467
Journal of Management Studies,Q1,S151705444
Academy of Management Perspectives,Q1,S33741590
Annual Review of Nuclear and Particle Science,Q1,S112282628
Journal of Human Resources,Q1,S62957338
American Journal of Human Genetics,Q1,S134425043
Trends in Cancer,Q1,S2765069123
Economic Journal,Q1,S45992627
IEEE Transactions on Automatic Control,Q1,S184954342
Ecology Letters,Q1,S80967739
Foundations and Trends in Information Retrieval,Q1,S197106261
Science advances,Q1,S2737427234
IEEE Transactions on Industrial Informatics,Q1,S184777250
Protein Science,Q1,S156919612
"Lancet HIV,The",Q1,S2531945440
Protein and Cell,Q1,S126440360
Accounts of Materials Research,Q1,S4210211377
Genome Research,Q1,S43092948
Health Affairs,Q1,S135745533
Qualitative Research in Psychology,Q1,S51001188
Leadership Quarterly,Q1,S152304618
IEEE Transactions on Sustainable Energy,Q1,S201762130
JAMA Internal Medicine,Q1,S65364685
Annual Review of Genomics and Human Genetics,Q1,S8095556
Biological Reviews,Q1,S86137544
Quarterly Journal of the Royal Meteorological Society,Q1,S70522100
International Journal of Robotics Research,Q1,S73484101
SmartMat,Q1,S4210207049
Journal of the Royal Statistical Society. Series B: Statistical Methodology,Q1,S145009937
"Lancet Healthy Longevity, The",Q1,S4210210722
American Journal of Psychiatry,Q1,S116025658
Educational Psychology Review,Q1,S187318745
Inventiones Mathematicae,Q1,S98347115
Journal of the American Academy of Child and Adolescent Psychiatry,Q1,S60711021
Journal of Urban Economics,Q1,S147692640
Remote Sensing of Environment,Q1,S141808269
IEEE Transactions on Communications,Q1,S196647941
PhotoniX,Q1,S3035551292
American Sociological Review,Q1,S157620343
Global Change Biology,Q1,S74970393
Cell Reports,Q1,S169236886
Cell Reports Medicine,Q1,S4210207453
npj Digital Medicine,Q1,S4210195431
Journal of Extracellular Vesicles,Q1,S2764464234
Psychological Methods,Q1,S45419345
Earth System Science Data,Q1,S106909380
"Lancet Child and Adolescent Health, The",Q1,S2898345135
IEEE Transactions on Fuzzy Systems,Q1,S134177497
"Vital and health statistics. Series 2, Data evaluation and methods research",Q1,S4306534411
Cell Discovery,Q1,S2764388416
PLoS Medicine,Q1,S197939330
Communications on Pure and Applied Mathematics,Q1,S134818455
Information Systems Research,Q1,S202812398
IEEE Transactions on Neural Networks and Learning Systems,Q1,S4210175523
Trends in Immunology,Q1,S84926904
Coordination Chemistry Reviews,Q1,S117186765
Medical Image Analysis,Q1,S116571295
MIS Quarterly: Management Information Systems,Q1,
Cell Death and Differentiation,Q1,S152938505
Journal of the National Comprehensive Cancer Network : JNCCN,Q1,
European Heart Journal,Q1,S181568219
Annual Review of Microbiology,Q1,S82779230
Human Reproduction Update,Q1,S19450991
Trends in Biochemical Sciences,Q1,S136233269
Molecular Biology and Evolution,Q1,S57552105
Communication Methods and Measures,Q1,S193040567
Autophagy,Q1,S102544370
Annual Review of Virology,Q1,S2764917282
Transactions of the Association for Computational Linguistics,Q1,S2729999759
Aggregate,Q1,S4210220553
"IEEE Transactions on Systems, Man, and Cybernetics: Systems",Q1,S4210209078
Journal of Financial and Quantitative Analysis,Q1,S193228710
Blood Cancer Journal,Q1,S2496263508
EMBO Molecular Medicine,Q1,S163075119
Annual Review of Pharmacology and Toxicology,Q1,S163849586
Educational Researcher,Q1,S55175622
eLife,Q1,S1336409049
"Lancet Haematology,The",Q1,S2531671668
Journal of the American Statistical Association,Q1,S3207474444
Journal of Retailing,Q1,S159120381
Advanced Science,Q1,S2737737698
Strategic Organization,Q1,S11394615
JAMA Surgery,Q1,S86924810
IEEE Network,Q1,S186584794
Molecular Psychiatry,Q1,S71149355
Kidney International,Q1,S97303050
Educational Research Review,Q1,S43764696
Contemporary Educational Psychology,Q1,S64506217
RAND Journal of Economics,Q1,S34139249
ACS Catalysis,Q1,S37391459
American Economic Journal: Microeconomics,Q1,S96919139
Digest of Technical Papers - IEEE International Solid-State Circuits Conference,-,S4210210374
IEEE Transactions on Power Systems,Q1,S201921491
European Journal of Information Systems,Q1,S116712389
PLoS Biology,Q1,S154343897
IEEE Journal on Selected Topics in Signal Processing,Q1,
European Respiratory Journal,Q1,S4210207896
Academy of Management Discoveries,Q1,S4210202650
Microbiome,Q1,S3004984423
Advances in Applied Energy,Q1,S4210186815
Sociological Methods and Research,Q1,S9536269
Biological Psychiatry,Q1,S205482884
Cancer Immunology Research,Q1,S2765010658
Duke Mathematical Journal,Q1,S171170845
Annual Review of Cancer Biology,Q1,S4210178937
Personnel Psychology,Q1,S84664706
ISPRS Journal of Photogrammetry and Remote Sensing,Q1,S173339282
Journal of Development Economics,Q1,S101209419
Proceedings of the National Academy of Sciences of the United States of America,Q1,
Molecular Therapy,Q1,S51596929
Journal for ImmunoTherapy of Cancer,Q1,S2754803477
ACS Central Science,Q1,S2765035057
Journal of Cell Biology,Q1,S96410829
"Lancet Rheumatology, The",Q1,S4210233594
Current Climate Change Reports,Q1,S4210219499
Nature Cardiovascular Research,Q1,S4210241135
Arthritis and Rheumatology,Q1,S4210186158
Archive for Rational Mechanics and Analysis,Q1,S136982523
IEEE Transactions on Medical Imaging,Q1,S58069681
Journal of Allergy and Clinical Immunology,Q1,S108525051
ISME Journal,Q1,S149218730
Radiology,Q1,S50280174
Trends in Genetics,Q1,S139283865
Computer Science Review,Q1,S73121659
Eco-Environment and Health,Q1,S4220651295
Experimental and Molecular Medicine,Q1,S4210202701
IEEE Transactions on Robotics,Q1,S144620930
Cancer Treatment Reviews,Q1,S49831067
Business Strategy and the Environment,Q1,S205793605
Leukemia,Q1,S149476849
Earth-Science Reviews,Q1,S40187045
Computers and Education,Q1,S4210172634
Cement and Concrete Composites,Q1,S123887920
Structural Equation Modeling,Q1,S78020522
IEEE Transactions on Power Electronics,Q1,S29875816
Progress in Lipid Research,Q1,S108758393
Strategic Entrepreneurship Journal,Q1,S31690342
Advanced Composites and Hybrid Materials,Q1,S4210207107
Health systems in transition,Q1,S4393917760
Plant Cell,Q1,S48849333
Applied Physics Reviews,Q1,S4210229136
Journal of Personality and Social Psychology,Q1,S29984966
Annals of Neurology,Q1,S114530997
Harvard Kennedy School Misinformation Review,Q1,
Liver Cancer,Q1,S2764970739
Geometric and Functional Analysis,Q1,S84214272
Human Relations,Q1,S61446109
Renewable and Sustainable Energy Reviews,Q1,S68497187
Water Research,Q1,S52566953
Review of Economic Dynamics,Q1,S163499366
Energy Material Advances,Q1,S4210231836
Sleep Medicine Reviews,Q1,S28482811
Current Opinion in Cell Biology,Q1,S103771297
IEEE Transactions on Image Processing,Q1,S4210173141
Energy Economics,Q1,S94499970
Immunological Reviews,Q1,S133112385
Optica,Q1,S4210197940
Journal of Consumer Psychology,Q1,S163545350
eClinicalMedicine,Q1,S2898347799
Research Synthesis Methods,Q1,S205768342
Environmental Science &amp; Technology,Q1,
Health Psychology Review,Q1,S111502347
Circulation: Heart Failure,Q1,S8311976
Automatica,Q1,S51360982
Energy and Environmental Materials,Q1,S4210219471
Sports Medicine,Q1,S154904565
Comparative Political Studies,Q1,S105556297
Journal of World Business,Q1,S143995394
Nano Today,Q1,S183222223
International Journal of Machine Tools and Manufacture,Q1,S154368109
JAMA network open,Q1,S4210217848
Wiley Interdisciplinary Reviews: Computational Molecular Science,Q1,S136120998
Theoretical Economics,Q1,S10997704
Cancer Research,Q1,S168522863
Bioactive Materials,Q1,S2898508902
Journal of Advanced Ceramics,Q1,S2764962576
Chem Catalysis,Q1,S4210217284
Soil Biology and Biochemistry,Q1,S62391475
Stata Journal,Q1,S88220793
Annals of Tourism Research,Q1,S51885707
Advanced Drug Delivery Reviews,Q1,S114437232
Nano Letters,Q1,S143846845
JHEP Reports,Q1,S4210202621
Journal of the American Society of Nephrology : JASN,Q1,
Journal of Travel Research,Q1,S157485431
Alcohol research : current reviews,Q1,S4210224487
Journal of Product Innovation Management,Q1,S93630570
Advanced Fiber Materials,Q1,S4210182575
IEEE Transactions on Industrial Electronics,Q1,S58031724
One Earth,Q1,S4210191196
Journal of Business and Economic Statistics,Q1,S18095783
IEEE Internet of Things Journal,Q1,S2480266640
Bone Research,Q1,S128199769
"Genomics, Proteomics and Bioinformatics",Q1,S4306509358
Ageing Research Reviews,Q1,S117312820
Materials Horizons,Q1,S2764386229
Opto-Electronic Advances,Q1,S2883262519
Evolution Letters,Q1,S4210186268
Journal of Innovation and Knowledge,Q1,S2898307581
IEEE Transactions on Cognitive Communications and Networking,Q1,S2484188435
Translational Neurodegeneration,Q1,S2764798395
EcoMat,Q1,S4210174281
Biometrika,Q1,S172180718
American Psychologist,Q1,S80146597
Progress in Human Geography,Q1,S193412822
Diabetologia,Q1,S104375418
Journal of Interactive Marketing,Q1,S92709572
International Journal of Research in Marketing,Q1,S11810700
Tourism Management,Q1,S6814119
Political Communication,Q1,S27211427
Small,Q1,S94619837
Trends in Chemistry,Q1,S64920681
Journal of Hospitality Marketing and Management,Q1,S118298121
Annals of Internal Medicine,Q1,S119722071
Circulation: Arrhythmia and Electrophysiology,Q1,S28979613
European Journal of Political Research,Q1,S135158421
California Management Review,Q1,S172782825
"Astrophysical Journal, Supplement Series",Q1,S183686791
Sustainable Technology and Entrepreneurship,Q1,S4220650898
Proceedings of the Annual ACM Symposium on Theory of Computing,-,
British Journal of Political Science,Q1,S95691132
Mucosal Immunology,Q1,S68384121
Higher Education for the Future,Q1,S4210222324
Nature Astronomy,Q1,S2764494557
Review of Environmental Economics and Policy,Q1,S140842003
Clinical Infectious Diseases,Q1,S72350973
Small Science,Q1,S4210233464
Human Resource Management Review,Q1,S185253248
Seminars in Cancer Biology,Q1,S154149207
Strategy Science,Q1,S4210183760
Frontiers in Ecology and the Environment,Q1,S144797041
Angiogenesis,Q1,S143701222
European Review of Social Psychology,Q1,S201273009
IMF Economic Review,Q1,S21260181
Journal of Advances in Modeling Earth Systems,Q1,S185824406
iMeta,Q1,S4220650979
"Forum of Mathematics, Pi",Q1,S2911503828
Microbiology and Molecular Biology Reviews,Q1,S187187948
Artificial Intelligence Review,Q1,S122814990
Monographs of the Society for Research in Child Development,Q1,S24859740
Med,Q1,S4306402606
Journal of the European Mathematical Society,Q1,S88235189
Econometrics Journal,Q1,S127742747
Wiley Interdisciplinary Reviews: Climate Change,Q1,S205538080
International Materials Reviews,Q1,S69687699
Trends in Pharmacological Sciences,Q1,S31167473
Journal of Strategic Information Systems,Q1,S6144335
Computers and Education: Artificial Intelligence,Q1,S4210183364
Alzheimer's and Dementia,Q1,S108427512
Annual Review of Nutrition,Q1,S160110530
Memoirs of the American Mathematical Society,Q1,S104585175
Journal of Supply Chain Management,Q1,S97320426
Research Policy,Q1,S9731383
Trends in Molecular Medicine,Q1,S64855341
Journal of Economic Theory,Q1,S149131268
Global Strategy Journal,Q1,S2765008422
Trends in Plant Science,Q1,S201780205
Annals of Probability,Q1,S40212770
JAMA Dermatology,Q1,S146641495
eBioMedicine,Q1,S2531685872
EMBO Reports,Q1,S57252141
JACC: Clinical Electrophysiology,Q1,S2898168182
Journal of Organizational Behavior,Q1,S160573970
European Journal of Epidemiology,Q1,S48690275
Critical Reviews in Environmental Science and Technology,Q1,S207935976
Journal of Corporate Finance,Q1,S152282257
Conservation Letters,Q1,S133530468
Journal of Manufacturing Systems,Q1,S201698446
Journal of Energy Chemistry,Q1,S2500128275
Earth System Dynamics,Q1,S163739988
Pharmacology and Therapeutics,Q1,S23625584
Public Administration Review,Q1,S76877748
Ultrafast Science,Q1,S4210223486
"Brain, Behavior, and Immunity",Q1,S102243518
Cold Spring Harbor perspectives in biology,Q1,S160223955
Journal of Child Psychology and Psychiatry and Allied Disciplines,Q1,
Clinical and Molecular Hepatology,Q1,S2764482685
Journal of Business Research,Q1,S93284759
Kidney International Supplements,Q1,S4210177655
Plant Communications,Q1,S4210223803
Organizational Behavior and Human Decision Processes,Q1,S64744539
IEEE Geoscience and Remote Sensing Magazine,Q1,S2491948244
Technological Forecasting and Social Change,Q1,S39307421
Annual Review of Sociology,Q1,S61274580
Small Methods,Q1,S4210232622
Wiley interdisciplinary reviews. RNA,Q1,S122939334
IEEE Reviews in Biomedical Engineering,Q1,S203619773
Systematic Biology,Q1,S65478581
American Journal of Kidney Diseases,Q1,S18197459
Annual Reviews in Control,Q1,S54761077
Journal of Financial Intermediation,Q1,S5984737
Clinical Gastroenterology and Hepatology,Q1,S6642600
Clinical Microbiology and Infection,Q1,S71414007
FEMS Microbiology Reviews,Q1,S7317325
Contemporary Accounting Research,Q1,S65924262
Environmental Science and Technology Letters,Q1,S2764476807
Gut Microbes,Q1,S2764770702
International Journal of Production Economics,Q1,S184816971
Allergy: European Journal of Allergy and Clinical Immunology,Q1,S4306501416
Laser and Photonics Reviews,Q1,S95928045
Journal of Management Information Systems,Q1,S9954729
Blood advances,Q1,S2764683450
International Journal of Management Reviews,Q1,S87745625
Annual Review of Statistics and Its Application,Q1,S4210217375
Autism in Adulthood,Q1,S4210230365
Current Opinion in Plant Biology,Q1,S69957782
Annual Review of Materials Research,Q1,S165210498
Physical Review Letters,Q1,S24807848
Persoonia: Molecular Phylogeny and Evolution of Fungi,Q1,S148105046
Acta Pharmaceutica Sinica B,Q1,S2736993989
Production and Operations Management,Q1,S149070780
Annual review of biomedical data science,Q1,S4210232080
Molecular Metabolism,Q1,S2764545133
Dialogues in Clinical Neuroscience,Q1,S3206652469
Annals of PDE,Q1,S4210183302
Journal of Integrative Plant Biology,Q1,S58990993
World Politics,Q1,S143110675
American Journal of Obstetrics and Gynecology,Q1,S122347013
Biomarker Research,Q1,S2764853569
Biomaterials,Q1,S163807576
Transport Reviews,Q1,S194388667
Environment international,Q1,S143381477
European Heart Journal Cardiovascular Imaging,Q1,S64942916
Journal of Operations Management,Q1,S142306484
Redox Biology,Q1,S2764928002
New Phytologist,Q1,S58631098
ACS Materials Letters,Q1,S4210213087
Thorax,Q1,S106546978
British Journal of Cancer,Q1,S62966998
Trends in Food Science and Technology,Q1,S89023782
Plant Biotechnology Journal,Q1,S36510773
Global Environmental Change,Q1,S130750583
